Date : 2020-11-19 09:41:06
Directory : /home/sunny/workspace_private/3rd-test-learning
Total : 141 files,  8137 codes, 1751 comments, 2083 blanks, all 11971 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        109 |      7,215 |      1,623 |      1,837 |     10,675 |
| Markdown |          8 |        362 |          0 |        112 |        474 |
| Python   |          6 |        261 |         56 |         77 |        394 |
| CMake    |         10 |        169 |          0 |         19 |        188 |
| XML      |          3 |         81 |         72 |         31 |        184 |
| YAML     |          5 |         49 |          0 |          7 |         56 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                  |        141 |      8,137 |      1,751 |      2,083 |     11,971 |
| 1. glog                                                                                                                            |          1 |         14 |         12 |         10 |         36 |
| 1. glog/src                                                                                                                        |          1 |         14 |         12 |         10 |         36 |
| 10. protobuf                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| 11. tic toc                                                                                                                        |          4 |        124 |         31 |         32 |        187 |
| 12. eigen                                                                                                                          |          2 |         35 |         20 |         10 |         65 |
| 13. boost-serialization                                                                                                            |          4 |        223 |         49 |         62 |        334 |
| 14. random-generator                                                                                                               |          1 |         18 |         12 |          7 |         37 |
| 15. TBB                                                                                                                            |          1 |          0 |          8 |          1 |          9 |
| 16. pcl                                                                                                                            |          4 |        105 |         90 |         43 |        238 |
| 16. pcl/display                                                                                                                    |          1 |         20 |          8 |          6 |         34 |
| 16. pcl/filter                                                                                                                     |          1 |         20 |         11 |          5 |         36 |
| 16. pcl/registration                                                                                                               |          2 |         65 |         71 |         32 |        168 |
| 17. openmp                                                                                                                         |          9 |        259 |        154 |         44 |        457 |
| 18. cmake                                                                                                                          |          5 |         26 |         24 |          3 |         53 |
| 18. cmake/cmake                                                                                                                    |          2 |         12 |          0 |          0 |         12 |
| 18. cmake/include                                                                                                                  |          1 |          4 |          8 |          1 |         13 |
| 18. cmake/src                                                                                                                      |          2 |         10 |         16 |          2 |         28 |
| 19. sensor_funsion_hw                                                                                                              |         19 |      2,807 |        506 |        707 |      4,020 |
| 19. sensor_funsion_hw/hw1_ceres_ndt                                                                                                |          4 |        378 |         86 |        123 |        587 |
| 19. sensor_funsion_hw/hw2_SC                                                                                                       |          5 |        758 |        118 |        250 |      1,126 |
| 19. sensor_funsion_hw/hw3_calibra                                                                                                  |          6 |      1,026 |        226 |        200 |      1,452 |
| 19. sensor_funsion_hw/hw4_filter                                                                                                   |          4 |        645 |         76 |        134 |        855 |
| 2. io                                                                                                                              |          4 |        196 |         48 |         45 |        289 |
| 2. io/csv                                                                                                                          |          1 |         66 |         29 |         14 |        109 |
| 2. io/rosbag_convert                                                                                                               |          2 |         69 |         12 |         21 |        102 |
| 2. io/synthesis                                                                                                                    |          1 |         61 |          7 |         10 |         78 |
| 20. ros-foxy                                                                                                                       |         25 |        751 |        118 |        221 |      1,090 |
| 20. ros-foxy/src                                                                                                                   |         25 |        751 |        118 |        221 |      1,090 |
| 20. ros-foxy/src/test_ros2                                                                                                         |         25 |        751 |        118 |        221 |      1,090 |
